,CleanedText,Type,Rating
0,how to provide to worlds worst customer service by bt arrange a call and then never call pass the customer around from agent to agent never use the same agent twice dont try to fix the underlying issue just keep cancelling and the order,Bad,1.0
1,during lockdown our internet service slowed and slowed to a point where we could not stream anything onto the tv sales promised me a mbt speed connection despite the fact that bt were unable to do this using the same telephone line they said that their equipment was better and more up to date so we joined and what a disaster the fastest internet speed was mbt speed and the telephone land line failed connecting with support services always wastes two to three hours of continuous effort landline broken again three weeks ago and no resolution nothing has really worked with since we transferred to them i want to cancel my contract with them and they want to charge me a fee of to do so they seem to be prime rip off merchants,Bad,1.0
2,hi you so much for your review were so pleased to hear youve been enjoying our services kind,Bad,1.0
3,i have a mobile provided by my employer with an ee sim coverage is terrible i found i had almost no signal anywhere in shropshire even when in town i live in a market town in wiltshire and again lucky to get bars anywhere in the county outside of swindon everything everywhere more like practically nothing anywhere,Bad,1.0
4,i would give a zero i was a loyal customer of o for five years then was scammed by an internal sales company which called me through an o number offering a free iphone or discount for loyal customers and a new tariff contract i took this offer and they asked for account details etc and ordered my phone then called me next day saying they gave me the wrong phone and asked me to return the phone to a warehouse address which seemed like a personal home i called up o customer service straightaway and they confirmed the call was from the internal sales team but there was some confusion as they shouldnt have given this offer fishy i told them at this point i dont want to anything to do with them and to leave o sent me a prepaid envelope to send back to their warehouse then i kept getting reminder text and emails to pay for the phone and bill even after i returned the phone i called o customer service multiple times to confirm if they recieved the phone and spoke to like different people each of them confirms they recieved it but the system takes a while to update and reassured me my account is closed with o then they passed me to a debt collectors company which stresses me and made me so angry i called the debt company and provided the evidence that i returned the phone straightaway and i was scammed they closed the case thankfully and gave it back to o to handle o again confirmed the account is closed and there was some glitch in their system which caused this there was no remorse or apologies from o never again will i come back to o it was a horrible experience and dragged out for months i kept recieving this same call even after i left o from this incident regarding this offer for loyal customers from their sales team,Bad,1.0
5,when first moving to virgin the service was as it should have been however subsequently i have experienced severe service interruptions and logged several complaints after receiving a response with education to one of the complaints and no resolution i began logging the outages from the router including logs and eventually after contacting virgin and being told there would be a disconnection fee i logged a formal complaint to this has subsequently been upheld and virgin have agreed all steps which included compensation for the outages and fee free cancellation,Bad,1.0
6,crap transcript of chat arrived went onto chat line again to request this but was dealing with an agent who just did not respond to any questions and had too many other conversations going on responses were so slow as to be meaningless crap service for a very simple request dont of time talking to this service,Bad,1.0
7,do not transfer to this company was promised new phones its been months and no new handsets took over my phone line leaving me with no handsets and did not pay my termination fee with old phone contract now stuck with them and not happy at all my previous review was forced on promise if i left a good review i would get new cases free with my new handsets but not even had handsets no handsets no cases dont be fooled like i was,Bad,1.0
8,absolutely no broadband a service agent from overseas called brian with no clue if he has to go of script unfortunately virgin have the monopoly in our area or i would happily pay more and go elsewhere,Bad,1.0
9,hi virgin media have gone through the painful process of calling the support team for the last weeks they sent technicians to fix the issue but none of them sorted it out they sent me wrong modems too looks like no one had any idea how to fix the the end i had no patience left to call the support team again and had to cancel the a bad service and bad experience,Bad,1.0
10,your service is awful i am not happy at all the router is too week after meters the speed reduce to when i have purchased g speed,Bad,1.0
11,the worst provider in away people,Bad,1.0
12,after taking money from my account without my consent for which i will be taking legal advice for nearly a year providing nowhere near the standard of service i signed up for and ignorant customer service team ive well and truly had enough of you you then have the audacity to send me a text telling me my complaint will be dealt with then do nothing you your company and your staff are a joke,Bad,1.0
13,offer these but you never actually get them its all a scam im still waiting on my voucher a year later and there is lot of previous customers who have hat the same problem as myself,Bad,1.0
