,CleanedText,Type,Rating
0,the worst customer service i have ever recieved being billed for service they could not install that i no longer want and after a month of being bounced from department to department there is still no resolution charges on account that where not explained when try to deal with them by chat just passed from department to department the rd part company they use for installs are useless took visits just to install one box in one room and still being charged for days of work and not one real apology or correction of a bill would never recommend and there recommendation is to go onto chat to resolve this function is useless departments dont talk to each other just pass the problem on i have wasted hours being bounced from billing to faults both saying they cant resolve without the other and just pass it on the issue is simple they think i have i dont they are billing me for they are billing me for installing why cant they simply understand i dont have multi room and correct the billing and allow me to sleep at night and the advise on here from mike from talk talk was resolve on chat thats the problem i have spent days trying this,Bad,1.0
1,ive emailed with a simple query at their on july and followed up yesterday on that however there has been no interest or response from customer support if it exists not sure about the positive reviews about customer service being posted here,Bad,1.0
2,very poor service first of all do not update online changes as i am years costumer and always waa topping up for gb data for the last few times when i top up the same amount for the same bundle it gave me only gb data and when i ask by calling costumer service whats the reason they just told me next month about june that when i top up again it will allow gb they do not explain the right and properly the things just to tak money today when i call again to clear everything out from my mind i asked about the information when i top up how much data will give me she just told me gb and i asked if its going to always from now like that she said yes so guys in my opinion there is no reason to use this card anymore because the online offers are not right there about the you,Bad,1.0
3,contract was finished the phone and was apparently broke as was the phone a new didnt work so i went to get an upgrade pay that the number would be transferred to a new phone within hours it wasnt went back and was told to turn phone on and off then the phone the number i have had for over years was still not transferred only found out from a friend who asked if it was me as they were getting messages from me from a different was i have texted any number of business clients saying i am back on message from a number they will not recognise wondered why i only got replies from odd the pac now and will find someone who actually has an inkling of customer you are a business steer clear,Bad,1.0
4,we went with talktalk because they were the cheapest provider at the time and now i know have had nothing but trouble since we joined them most recently we moved house they charged us a home moving fee after saying this would be free they failed to provide broadband for us as promised didnt send an engineer around even though we waited in and didnt contact us when i made a complaint i was promised phone calls to follow up which never came their communication was shocking the second go live date came and went still no broadband customer services were appalling when we called them for help we were on the phone over an hour every time they were very reluctant to escalate the complaint and we really had to push for this over a month later we still have no broadband and have been charged despite this in order to close the complaint they have agreed to let us leave our contract without the early get out charge thank goodness ill not have to have anything to do with them from now i feel incredibly frustrated by the last month or so and wish for others to avoid the stress avoid avoid avoid this company shouldnt be trading worst experience of a company ever please pay a little extra and go with somebody who can actually provide a service,Bad,1.0
5,been with them all my life built up years of loyalty boosts and these were taken away because i changed pack even though the website said my free boosts would be carried over when i changed even have a screenshot to prove this but their response is nothing we can do decided to go somewhere else ill get better value for money and better customer service elsewhere,Bad,1.0
6,if talktalk is contracting customer service out they should find a better provider if this is an in house team they should make this team redundant and start afresh the mentality of the support team is wrong and it can not be changed it has to start with the right foundation yesterday i waited mins for technical support twice after mins someone picked the phone up and put the receiver down i have been waiting for a broadband connection for weeks and three days the phone line exists it should be a one day work but everybody in talktalk is sitting around waiting things to happen magically as a customer i have to chase talktalk o get them do their work customer service is not trying to improve our experience or solve the problems before it infuriates us they must have been instructed to kick the ball further away hoping that problems will be solved by themselves unfortunately problems never just gets resolved automatically eventually someone has to do something the customer either gives up on talktalk and move to another provider or if he is lucky he will finally find a competent person who can deal with the problem i have not spoken to anybody who wants to help so far i have called hundred times in the last days,Bad,1.0
7,stay away first of all honestly theres no point going with them they are very expensive and the customer service is atrocious when i joined my internet wasnt set up until a month after moving in to my flat and i was being charged i tried to call them multiple times but their help line is closed on weekends and only open week days which is exactly the time ill be at work after i was setup they promised me mbs i never reviewed that they later forced me on to a more expensive contract because they were discontinuing to one i was currently on they promised me about mbs now and i never got more than mbs decided to cancel my contract early which the changed be about for that i returned their router and they lost it now they are harassing me with calls a day while im at work to pay for a router and guess what they are even calling on the weekends as well even though the office is closed for paying customers that need help its open to chase people for money would not recommend at all,Bad,1.0
8,appalling paid my bill days ago and multiple bars for non payment redirect to accounts payable multiple interactions with customer service to no avail promises that it will be fixed next day not so much in desperation tried to pay next months bill but cant even do that as of tonight account still showing overdue o service used to be the best clearly ancient history right now i am planning to terminate o are taking my money giving me a bad service and then claiming i have not paid them multiple robotic times a day wont even accept their own payment confirmation codes successfully paid as evidence,Bad,1.0
9,their web site is very slow and difficult to use for ones account and technical problems telephone contact and technical support is poor for problems especially with account and overall extremely slow i have been them for many many years but this the end they need to up their game quickly,Bad,1.0
