,CleanedText,Type
0,information i was given was incorrect i was informed that one thing would happen and this did not happening which left me in a pickle with financial circumstances which when i contacted virgin it was a fight to get this sorted,Bad
1,internet is awful cannot get through to speak to anybody on there customer care number ive been on hold for mins twice tried using there service again was disappointed to find out it was not working,Bad
2,try topping up pay as you go service it doesnt work on my phone and the website is broken down and this happens everytime i need to top up,Bad
3,my prices were increased in the middle of the contract and in the middle of the pandemic when we had the most financial struggles shame on you virgin media,Bad
4,been a customer for yrs plus internet service rubbish conflicting information from customer services when trying to resolve problem not happy at all,Bad
5,virgin media customer service is absolutely used to think ntl was terrible but compared to virgin media there were no flies on absurd waiting time in the call queue and the clueless customer service agent is the perfect concoction of extreme annoyance and if you value your money and sanity stay well clear of these cow boys,Bad
6,i agree to a contract over the phone some months back due to the reasonable price that was offered now they are bumping up the price saying i did nor read the small print the agreement was over the phone its difficult to read the small print but somehow i must have agreed to their ramblings i asked to be out of the contract as they were now charging way more than other providers they said no way and would fine me if i decided to change providers they also threatened me if i did not pay the fine they would block any other company that attempted to provide me with a better service the whole attitude of their customer service its one of aggression with no flexibility i realise i am just one of thousands that have problems with this british company i suggest bt should send its so called customer service teams to the us for training on how to treat their customers with service,Bad
7,order a sim saying it recurs every days once sim arrived received an email with update tc stating that if you can cancel in a month then it is okay otherwise it is month contract and you have to pay remaining month what a scam these scammers know that not everyone reads fine print,Bad
8,terrible service and customer service no telephone to contact on no live chat just email contact which can take up to hours to only going to stay this month then find someone else took days and many emails of complaint before they transferred my old number ridiculous i have a disability and suffered great deal of stress without phone,Bad
9,so i ordered a pixel with the guarantee that is would be delivered in days and to my surprise its been over weeks and it still hasnt been dispatched ive contacted and all they could say is that it would come but so far not even dispatched false promises and poor communication absolutely horrendous,Bad
10,issue i have been with talk talk going onto months and the service and is dreadful when i first set up my dd with the customer service rep she asked for a date that i would want my the dd to be taken on i gave her date i then realised that the original agreed date was not the date that had been selected and my dd was being taken earlier than i agreed or expected i then called up to ask why i was informed me that talk talk had their own selected dates they take dd on which i wasnt informed on orginally which was frustrating as that meant money had been taken before it was there to be taken which also meant late fees was because of late payments when asking customer service rep to change the date she told me and i quote dont worry about changing the date let the payment bounce as talk talk will try again days later which is terrible advice from your customer service rep and expected i ignored that advice and changed my dd date issue i have been without internet for a month now and have called up times now spending over a hour on each call doing the same requested things and each time it has not worked then to have another modem and router sent out for that also not work i called up again for th time to spend another hour on a call to do the same thing again but now i have been booked in for the repair team which is coming up this week friday and also waiting for a complaints manager to call me back as i refuse to pay for a service that i havent joke,Bad
11,email sever imap update their sever security various email apps on mobile phones no longer viable as talktalk have made a mess of it email service is no longer available via app have to use their webmail access utter rubbish,Bad
12,signed up with talk talk back in april installation arranged for early may the box hadnt arrived and the engineers went to the wrong address rang and emailed to rearrange spoke to several customer service assistants over weeks who said they were rearranging the installation but didnt no contact for weeks from them despite me ringing and asking on an email to say they were closing the case despite not having the line installed so i had to explain all of the above for the seventh time via emails and phone call then received an email with a date for the line move had to email to say it wasnt a line move but an installation no response emailed again and finally this morning received an email to say they are changing it to an installation and they will be in touch to arrange a date so ive had no internet and ive been paying for the service since may absolute joke of a company totally incompetent,Bad
13,absolutely appalling customer service they have accepted they owe me a credit of and i have had to chase times a complete waste of time this has now been going on for months no option but to go to ofcom utterly useless avoid like the virgin have responded to this with what appears to be a generic reply see below im grateful they have confirmed they agreed a day response policy with their regulator of course if they had properly read my short review they would have seen it had been outstanding for months now yet more evidence of dreadful service and performance from this company im embarrassed for them,Bad
14,if i could give this company stars i started a new contract on a wifi hub was sent to me but talktalk put an incomplete address on it and thus it was by contacted talktalk who told me that they had rectified the problem however advised that they had not and they returned the hub to contacted them today to tell them that i needed a new hub to be sent out and after minutes of being on chat to them after eventually finding the facility on their website i was told that he wanted to firstly transfer me to technical department as he thinks there is a fault there isnt the fault is that it wasnt delivered then he said he was going to charge me to get the router delivered to me unbelievably shocking,Bad
15,really unhappy following the installation of my router no notice given despite being advised that i would get a call minutes before guy disappeared after installation despite telling me he would be in tidy up and take photos router was installed under my bed and is so hot to touch that i turned it off,Bad
16,avoid this company as they have no grasp of basic customer service i joined up and was sent a router that dropped itself every days after minutes on hold spoke to an adviser who followed an irrelevant script and made no sense wrote a complaint no response went back to bt that was weeks ago they contacted me yesterday to discuss my complaint no apology no compensation incompetent is too small a word,Bad
17,i called their bereavement team this morning i got through and the person on the other end didnt even say sorry for your bereavement and was extremely difficult to understand which made the whole process extremely difficult and stressful the last thing you need when youve been bereaved the questioning style was very robotic and inflexible they even tried to charge to change the account over following the death of the account holder would not recommend plus they had been overcharging the account holder who was extremely old and vulnerable,Bad
18,the item was out for delivery on and we are still waiting according to dhl it has been delayed since,Bad
19,horrible customer service very rude,Bad
20,wanted to upgrade my vodafone to which i did it has been an absolute nightmare from the start i have never been lied to so much from one company bt have been out and installed the full fibre line i am still with out and broadband or as they have disconnected my original service i have been lied to so much i am not even going to wait another days which is what i have been told it will take to get connected i would much rather buy out of contact and switch on weve just been lied to again i was told i could cancel for a termination fee of ive just been on own website because you cant trust them and it says if you want to cancel after days but before your contract has expired then you need to pay for your remaining contract this is called the early termination early termination fee equals your monthly charge multiplied by the number of months left on your have months left on contract so how is my fee only lesson learnt do not even use vodafone mobile contract is with ee and has been for the last years and i have to say if i have an issue its dealt with how it should be,Bad
21,issue raised since last days but issue still not solved very poor service provided every day wasting time not professional people helped,Bad
22,what ever you do dont go with bt the worse company ever do yourself a favour and find another company if you want to be messed around and waste loads of time and money bt are number in this,Bad
23,rubbish service minutes to get tell me to call back in hours as billing system offline no info about speed issue apart from a further did an upgrade th ish oct got quick email confirmation then reply from talktalk but rather than say looking into this for you got a sorry and contact us again via the online text system so i can go through all the pain again thanks but no thanks,Bad
24,i pay for broadband service virgin connected us to the neighbours property the neighbours complained about their split signal they got virgin to disconnect us i am now without internet until the cabling to our property is finally properly sorted while still paying for a service and finding myself with no internet connection for days which is highly problematic for me virgin have to much power and no work ethics or sense of service its a huge ma june unable to deliver the service they promised and should not have such a share of the market to avoid whenever possible,Bad
