,CleanedText,Type
0,appalling service would go elsewhere if your looking for new my phone phoned they put a bar on the phone and advised i travel a mile round trip to the nearest store and take some id and i can get a new sim to use in my old phone travelled the miles they never asked for id instead they wanted my password and then spelt it wrong so i was locked out there system in the cribbs causeway bristol store the guy then said there was nothing he could do as the pass word was locked after he spelt it wrong he made no attempt to try and resolve his error as he was clearly only interested in making sales i then travelled back home very annoyed as a long term customer of o i expected a new sim issue to be pretty standard but will never use that stuff again as they were no help at all phoned customer service they said they would contact the store and advise a complaint will be going in and offered as a sorry i was told to go back to the store and they would issue me a sim card this card another miles however i have now found my phone so phoned o over hours to get the sim unblocked and was told by different people that the phone would take hours to come back on but still i have no service hrs later i have made endless phone calls but all they call centre staff are interested in is there stats for the day rather than sorted out customer problems as after all we pay for their wages how come they can bar your phone straight away but when its the other way round they cant am now paying for a contract but have no service so o have actually broken the terms pf the contract i am phoning tomorrow and asking for terminations i will keep you away from o they dont care,Bad
1,i ordered their broadband and had a terrible experience at all initially had to wait weeks for installation the team didnt turn upi was on hold for an hour trying to find out what would happen next the assistant cut off half way through a sentence before we were phoned again and was on hold for another hour during this time i saw a cheaper virgin media deal for the same servicei was offered a new install date weeks from far ive wasted day waiting for an install team that never showed up hours on the phone weeks waiting for in response to virgin medias response below sure delays can happen but this is a week delay after a without any kind of communication i had to spend hours on the phone to get any information about what was going on this is not just a delay issue its a twisted and broken system on many levels providing your customers zero respect or human kindness your response minimising this into just a delay is exactly the kind of arrogance problem im complaining about,Bad
2,i strongly advise against broadband from this company after connecting the new offer the download becomes slower by half the customer service is dramatic and on top of that it is almost impossible to understand them they have an accent so you have to guess what theyre saying they direct you to this speed test page that shows the speed times faster than the vodafone website advise against,Bad
3,we had an installation date set up for today at am to call them to find out what the delay was to be told by a call centre in india that our installation date has been changed extremely bad service considering no one even had the courtesy to call us and let us know then told us rudely we will not be compensated for taking time off work and then the agent hung can keep your services i dont want it if that is how you treat appalling,Bad
4,awful awful hasnt worked for weeks and internet is so box is always disconnecting from router making on line tv watching a and crap service with no customer service,Bad
5,day still waiting for service owe no money to them but expect any day to receive an outrageous bill from them this has been the nom for months and yes i have no service but they will still send you a hundreds escalating to a hundred interest a month they cut you off when you question it how dare i when you call them expect to be on hold an hour and the latest is when you ask who you are the name changes two days ago i was talking to an aran at beginning of call but at end of call he said his name was claire i want to unlock my mob take my number and escape,Bad
6,we have been trying to deal with virgin media in respect of issues and the escalating cost of our package we would like a better affordable deal but these are only for new customers we have had no choice but to cancel our package which costs us in excess of per month this will leave us without a phone line or internet access during these days of restrictions our experience of virgin media is awful we keep trying to register a complaint but we get no response virgin media make it almost impossible to complain about them i cannot hear over the phone and they do not have an email address for customer services if i could have given less than star i would have,Bad
7,rubbish customer no phone for month and only received about credit when i had an email stating it would be a issues as wellvery poor servicei have been with virgin for over years and treated very to sky,Bad
8,i am writing this piece so all who read it can get the right information do not switch to virgin media unless your masochistic and love being shafted they will not help when it comes to any technical issues you may have with your equipment as they will openly deny any issues reported with it their broadband service is a completely and contemptible piece of rubbish do not use there online or phone systems to report faults or charges or anything they clearly will send you round in agonising circles for hours and will solve nothing but unfortunately that is all you have put everything in writing as well if you have an issue go straight to their complaint department make your case which should be directed to a manager but good luck with that approach do not sign up in the st place will save you a lot of pain heartache very expensive phone bills and the eventual loss of hair as you pull it out dealing with have had a gb for the last weeks i have had countless issues regarding high latency and constant disconnects and i am not the only one with these network issues using virgin medias routers i am in the process of cancelling my service with them i have raised the issue with virgins ceo and the ombudsman lodge your complaint and do it swiftly as i have had this terrible service for weeks they are now trying to force a early disconnect fees if they try that on you state not fit for purpose it will take you a lot of time and headbanging but keep insisting virgin media are at fault here a broken product thats not fit for purpose and they know will try everything in their power to dissuade you and i have had enough of being treated so poorly by a company that only cares about profit over good services and customer have raised these issues with virgin the company ceo and also a formal complaint i have only had this system for weeks they will pass you around the block stay firm and do not take their for your rights as these companies should not hold their customers to ransome for failing systems and failing customer care non existence,Bad
9,i was with virgin for many years i had fibre optic broadband when i moved house the area i was in was unable to get fibre the service became so unreliable i was constantly on the phone to their call centres which are completely useless they were not interested when i said i was leaving i had virtually no internet for weeks which i was paying through the nose for a disgusting service avoid like the plague,Bad
10,virgin media are a company with terrible customer service and no value for loyalty our internet is intermittent and no where near the speeds promised after taking screenshots to prove speeds are diabolical i tried to call them to say i was leaving or to see whether they could do anything it took me mins to get through and mins to just get the person on the other end of the phone to understand my partners name and our account number i then was put through to another department and the phone disconnected and no one called me back virgin media i would like to leave as i cant get this message to you via phone call i request a call back this week early next week to discuss cancelling our contract,Bad
11,bad service bt promised to deliver my item between days after days no reply from bt tried to call waited minutes but no luck still waiting for reply ill never buy from them again,Bad
12,the most horrible experience i ever had first time i got kit there was an outrage on the area so we had to wait for it to be fixed and the customer service was so useless and not helpful at all they keep you waiting for hours and never came back i cancelled it in the end but there are some extra charges when they made it clear that there was no extra cost because i was a new customer they were lying about cancelling it on the day and still put it up for days more so you have to pay for it they are horrible and just wants money out of you,Bad
13,attempting to move from on deal keeping my old number have received my first bill already but no sim so now have no service but paying for seeing your reply i have to say i do not use facebook twitter or instagram what happened to actually speaking to actual real people so far attempts to contact ee by phone have been thwarted by phone answering system that does not cater for my issue,Bad
14,they wont leave me alone i have had hundreds of spam text messages emails phone calls from vodafone via many different numbers and email addresses im in a month phone contract and constantly try and unsubscribe various times i have directly been told we will manually block communications with you then i proceed to consistently receive further spam i uploaded a video here to show the amount of texts i get from them not including emails and phone calls,Bad
